"CAMIS","DBA","BORO","BUILDING","STREET","ZIPCODE","PHONE","CUISINE.DESCRIPTION","N.INSPECTIONS"
40393427,"DAVIS POLK DINING ROOM","MANHATTAN","450","LEXINGTON AVENUE",10017,"2124504750","American ",5
40393474,"MCDONALD'S","MANHATTAN","335","8 AVENUE",10001,"2126331107","Hamburgers",11
40393488,"BELLA NAPOLI","MANHATTAN","130","MADISON AVENUE",10016,"2126834510","Pizza/Italian",11
40393496,"CODY'S ALE HOUSE GRILL","BROOKLYN","154","COURT STREET",11201,"7188526115","American ",4
40393519,"DOWN THE HATCH","MANHATTAN","175       ","WEST    4 STREET                                                                                    ",10014,"2126279747","American ",8
40393532,"J.J. BUBBLES","BROOKLYN","7912      ","THIRD AVENUE                                      ",11209,"9178039417","American ",8
40393558,"FITZGERALD'S PUB","MANHATTAN","336       ","THIRD AVENUE                                                                                        ",10010,"2126796931","American ",10
40393561,"FAROS RESTAURANT","BROOKLYN","95","CHURCH AVENUE",11218,"7184365449","American ",8
40393563,"GUN POST LANES SNACK BAR","BRONX","1215      ","EAST GUN HILL ROAD              ",10469,"7188810331","American ",5
40393570,"PASTA LOVERS TRATTORIA","MANHATTAN","142       ","WEST   49 STREET                                  ",10019,"2128191155","Italian",6
40393591,"DON GIOVANNI RESTAURANT","MANHATTAN","214","10 AVENUE",10011,"2122429054","Italian",8
40393679,"LOS TOLDOS RESTAURANT","QUEENS","84-01","NORTHERN BOULEVARD",11372,"7185657540","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",11
40393685,"GLEN PATRICK'S PUB","QUEENS","133-10","CROSS BAY BOULEVARD",11417,"7187387303","American ",11
40393688,"EL MOLINO ROJO RESTAURANT","BRONX","101","EAST 161 STREET",10451,"7185389642","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",18
40393712,"SHABU TATSU","MANHATTAN","216       ","EAST   10 STREET                                                                                    ",10003,"2124772972","Japanese",5
40393725,"TRIBECA GRILL","MANHATTAN","375","GREENWICH STREET",10013,"2129413900","American ",4
40393742,"POPEYES CHICKEN & BISCUITS","MANHATTAN","321       ","WEST  125 STREET                                                                                    ",10027,"2129329636","Chicken",15
40393753,"C & B LUNCHEONETTE","QUEENS","983       ","WYCKOFF AVENUE                                                                                      ",11385,"7184976561","American ",7
40393761,"SAN PIETRO","MANHATTAN","18","EAST   54 STREET",10022,"2127539015","Italian",11
40393772,"INDO CHINE","MANHATTAN","430       ","LAFAYETTE STREET                                                                                    ",10003,"2125055111","Asian",8
40393787,"DUNKIN' DONUTS","QUEENS","5615      ","MYRTLE AVENUE                                                                                       ",11385,"7184973581","Donuts",6
40393832,"GLEN PATRICK'S PUB","QUEENS","5373      ","65 PLACE                                                                                            ",11378,"7184298334","American ",6
40393855,"MULDOONS BAR","MANHATTAN","692       ","3 AVENUE                                                                                            ",10017,"2125992750","Irish",12
40393895,"PIZZA BOY II","QUEENS","5819      ","WOODSIDE AVENUE                                                                                     ",11377,"7184265023","Pizza",7
40393905,"GRANDSTAND TAVERN","QUEENS","85-35","GRAND AVENUE",11373,"7184789633","Irish",9
40393912,"JULLIARD & S.A.B. CAFETERIA","MANHATTAN","000","LINCOLN CENTER",10023,"2127217373","American ",3
40393977,"TONY'S PIZZA II","BROOKLYN","1107      ","RUTLAND ROAD                                                                                        ",11212,"7189538163","Pizza/Italian",6
40393985,"MANETTA'S RISTORANTE","QUEENS","1076      ","JACKSON AVENUE                                                                                      ",11101,"7187866171","Italian",9
40394007,"NIAGARA/ LOVERS OF TODAY/ CABIN DOWN BELOW","MANHATTAN","112       ","AVENUE A                                                                                            ",10009,"2124209517","American ",8
40394024,"O'BRIEN'S PUB","BRONX","28        ","EAST KINGSBRIDGE ROAD                                                                               ",10468,"7183649492","American ",5
40394028,"SALVI RESTAURANT","BROOKLYN","4220      ","QUENTIN ROAD                                                                                        ",11234,"7182523030","Italian",8
40394030,"TIBBETT DINER","BRONX","3033","TIBBETT AVE",10463,"7185498893","American ",12
40394034,"ONCE UPON A TART","MANHATTAN","135","SULLIVAN STREET",10012,"2123878869","Café/Coffee/Tea",14
40394037,"WHITE CASTLE","QUEENS","175-28","HILLSIDE AVENUE",11432,"7186576470","Hamburgers",5
40394043,"DELMONICO GOURMET","MANHATTAN","55","EAST 59 STREET",10022,"2127515559","Delicatessen",11
40394053,"FLIGHT 151","MANHATTAN","151       ","8 AVENUE                                                                                            ",10011,"2122291868","American ",8
40394054,"GARDEN OF EAT-IN","BROOKLYN","1416","AVENUE J",11230,"7182525289","Jewish/Kosher",13
40394059,"SANDY'S DELI & ROTI","QUEENS","12110     ","LIBERTY AVENUE                                                                                      ",11419,"7186598000","Caribbean",9
40394066,"BOMBAY MASALA","MANHATTAN","148       ","WEST   49 STREET                                                                                    ",10019,"2123028150","Indian",12
40394068,"JACKSON HOLE","QUEENS","6935      ","ASTORIA BOULEVARD                                                                                   ",11370,"7182047070","American ",7
40394110,"CRONIN & PHELAN PUB & RESTAURANT","QUEENS","38-14","BROADWAY",11103,"7185458999","Irish",8
40394122,"PIZZA PLATE","BROOKLYN","1529","86 STREET",11228,"7182564555","Pizza",9
40394159,"SAN REMO PIZZA","QUEENS","4820      ","VERNON BOULEVARD                                                                                    ",11101,"7189372484","Pizza",9
40394164,"TOPAZ THAI RESTAURANT","MANHATTAN","127       ","WEST   56 STREET                                                                                    ",10019,"2129578020","Thai",13
40394176,"MOONSTRUCK EAST","MANHATTAN","449       ","THIRD AVENUE                                      ",10016,"2122131100","American ",12
40394207,"PASCALOU","MANHATTAN","1308","MADISON AVENUE",10128,"2125347522","French",12
40394258,"TOMMASO RESTAURANT","BROOKLYN","1464","86 STREET",11228,"7182369883","Italian",11
40394329,"FRANK'S PIZZA RESTAURANT","BROOKLYN","2134","FLATBUSH AVENUE",11234,"7183778100","Pizza",8
40394345,"DA ROSINA RESTAURANT","MANHATTAN","342       ","WEST   46 STREET                                                                                    ",10036,"2129777373","Italian",8
40394357,"ABITINO'S PIZZA","MANHATTAN","733","2 AVENUE",10016,"2126611919","Pizza",11
40394364,"LITTLE POLAND RESTAURANT","MANHATTAN","200","2 AVENUE",10003,"2127779728","Polish",11
40394366,"EMPIRE SZECHUAN NOODLE HOUSE","MANHATTAN","4041      ","BROADWAY                                                                                            ",10032,"2125681600","Chinese",9
40394383,"ISLAND TASTE","STATEN ISLAND","3161","AMBOY ROAD",10306,"7189875123","Chinese",12
40394392,"PICCOLO ANGOLO","MANHATTAN","621","HUDSON STREET",10014,"2122299177","Italian",6
40394394,"MASTER WOK","STATEN ISLAND","2655      ","RICHMOND AVENUE                                   ",10314,"7189839466","Chinese",7
40394401,"BAR SIX","MANHATTAN","502       ","6 AVENUE                                                                                            ",10011,"2126911363","French",8
40394449,"BARAONDA","MANHATTAN","1439","2 AVENUE",10021,"2122888555","Italian",6
40394494,"A.J. PIZZERIA","BROOKLYN","4412      ","FT HAMILTON PARKWAY                                                                                 ",11219,"7188715745","Pizza/Italian",9
40394518,"MATEUS RESTAURANT","QUEENS","222-05","JAMAICA AVENUE",11428,"7184644522","Portuguese",9
40394555,"LUIGI'S RESTAURANT","QUEENS","265-21","UNION TURNPIKE",11040,"7183477136","Italian",8
40394560,"MARUMI","MANHATTAN","546       ","LA GUARDIA PLACE                                                                                    ",10012,"2129797055","Japanese",9
40394566,"MEMBERS DINING ROOM @ THE MET MUSEUM","MANHATTAN","1000","5 AVENUE",10028,"2125703974","American ",8
40394600,"THE RESTAURANT","QUEENS","8605      ","ROCKAWAY BEACH BOULEVARD                                                                            ",11693,"7186345809","American ",10
40394644,"EGGER'S ICE CREAM PARLOR","STATEN ISLAND","1194","FOREST AVENUE",10310,"7189812110","Ice Cream, Gelato, Yogurt, Ices",4
40394650,"GINO'S PIZZA","BROOKLYN","4006      ","13 AVENUE                                                                                           ",11218,"7188715920","Pizza",11
40394701,"THE END ZONE BAR","QUEENS","14944     ","14 AVENUE                                                                                           ",11357,"7187469654","American ",5
40394720,"AMBASSADOR DINING ROOM  AT SARATOGA FAMILY INN","QUEENS","175-15","ROCKAWAY BOULEVARD",11434,"7182441375","American ",8
40394723,"THE ABBEY PUB","MANHATTAN","237","WEST  105 STREET",10025,"2122228713","Irish",15
40394749,"FINE & SHAPIRO","MANHATTAN","138","WEST 72 STREET",10023,"2128772874","Jewish/Kosher",5
40394761,"E & L BAKERY & COFFEE SHOP","BRONX","4202","WHITE PLAINS ROAD",10466,"7183248152","Bakery",5
40394762,"CAROLINE'S ON BROADWAY","MANHATTAN","750       ","7 AVENUE                                                                                            ",10019,"2127574100","American ",10
40394770,"WEMBLEY ATHLETIC CLUB","BRONX","550       ","EAST  239 STREET                                  ",10470,"7186528108","American ",6
40394838,"CULLEN'S TAVERN","BRONX","4340","WHITE PLAINS ROAD",10466,"3479204009","American ",8
40394840,"THE UPPER CRUST","MANHATTAN","91        ","HORATIO STREET                  ",10014,"2126914570","American ",7
40394916,"LAS ISLA RESTAURANT","BROOKLYN","293","BROADWAY",11211,"7183871605","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",8
40394954,"CAMPAGNOLA RESTAURANT","MANHATTAN","1382      ","1 AVENUE                                                                                            ",10021,"2128611102","Italian",9
40394957,"TUSCANY GRILL","BROOKLYN","8620","3 AVENUE",11209,"7189215633","Italian",6
40394962,"RUSSO'S ON THE BAY","QUEENS","16245     ","CROSS BAY BOULEVARD                                                                                 ",11414,"7188435055","American ",4
40395020,"BUCCANEER DINER","QUEENS","9301      ","ASTORIA BOULEVARD                                                                                   ",11369,"7184295188","American ",6
40395023,"JING FONG RESTAURANT","MANHATTAN","20        ","ELIZABETH STREET                                                                                    ",10013,"2129645256","Chinese",10
40395036,"AMERICAN AIRLINES EMPLOYEE CAFETERIA","QUEENS","          ","LA GUARDIA AIRPORT                                                                                  ",11369,"7184764287","American ",9
40395055,"BECCO","MANHATTAN","355","WEST   46 STREET",10036,"2123977597","Italian",9
40395071,"DUNKIN' DONUTS","QUEENS","31-14","DITMARS BOULEVARD",11105,"7182743011","Donuts",6
40395079,"RUDY'S BAR & Grill","MANHATTAN","627       ","9 AVENUE                                                                                            ",10036,"6467070890","American ",5
40395087,"AUSTIN'S STEAK & ALE HOUSE","QUEENS","82-70","AUSTIN STREET",11415,"7188493939","Continental",15
40395093,"COYOTE UGLY","MANHATTAN","153","FIRST AVENUE",10003,"2124774431","American ",11
40395110,"PRIMA PASTA & CAFE","QUEENS","16150     ","CROSSBAY BOULEVARD                                                                                  ",11414,"7186597278","Italian",6
40395122,"GINO'S PIZZERIA RESTAURANT","MANHATTAN","345       ","EAST   83 STREET                                                                                    ",10028,"2127175336","Pizza",12
40395140,"TONY'S PIZZERIA & RESTAURANT","BROOKLYN","1622","RALPH AVENUE",11236,"7184449651","Pizza/Italian",13
40395152,"UNCLE VANYA","MANHATTAN","315","WEST   54 STREET",10019,"2122620542","Russian",15
40395200,"UNO CHICAGO GRILL","MANHATTAN","220       ","EAST   86 STREET                                                                                    ",10028,"2124725656","Pizza",11
40395211,"DEMPSEY'S PUB","MANHATTAN","61","2 AVENUE",10003,"2123880662","Irish",10
40395218,"WINCHESTERS PUB","QUEENS","23312     ","HILLSIDE AVENUE                                                                                     ",11427,"7184648230","American ",8
40395239,"CAFE CARDINI","QUEENS","27120     ","UNION TURNPIKE                                                                                      ",11040,"7183432728","Italian",4
40395298,"T-BONE DINER","QUEENS","107-48","QUEENS BOULEVARD",11375,"7182617744","American ",13
40395310,"SUNRISE COFFEE SHOP","QUEENS","45-04","PARSONS BOULEVARD",11355,"7188864855","American ",9
40395313,"MY THREE SONS RESTAURANT","BROOKLYN","7121      ","FT HAMILTON PARKWAY                               ",11228,"7188361579","American ",13
40395333,"CHICKEN DELICIOUS","BROOKLYN","286       ","KINGS HIGHWAY                                                                                       ",11223,"7189988878","Chicken",7
40395343,"FELIX","MANHATTAN","340","WEST BROADWAY",10013,"2124310021","French",13
40395366,"MIKE'S DONUTS","BROOKLYN","6822","5 AVENUE",11220,"7187456980","Donuts",4
40395375,"ILDA'S PLACE II","QUEENS","8122      ","BAXTER AVENUE                                                                                       ",11373,"7188987207","American ",7
40395376,"LE PETIT CAFE","MANHATTAN","156","SPRING STREET",10012,"2122199723","American ",16
40395480,"BROADWAY STATION","QUEENS","30-09","BROADWAY",11106,"7185455869","American ",9
40395505,"PORTO PRINCE STAR RESTAURANT","QUEENS","221-13","LINDEN BOULEVARD",11411,"7185259006","Caribbean",13
40395511,"WHITE CASTLE","BRONX","2900","EAST TREMONT AVENUE",10461,"7187927659","Hamburgers",7
40395516,"ALPHA DONUTS","QUEENS","45-16","QUEENS BOULEVARD",11104,"7184724725","American ",14
40395525,"MCDONALD AVENUE DINER","BROOKLYN","1111","MCDONALD AVENUE",11230,"7189518475","American ",7
40395526,"MEZCAL'S DOS RESTAURANT","BROOKLYN","7508      ","3 AVENUE                                                                                            ",11209,"7187487007","Mexican",8
40395551,"SUGAR BUN BAKERY","QUEENS","15622     ","CROSS BAY BOULEVARD                                                                                 ",11414,"7188439233","Bakery",9
40395554,"COUNTRY DONUTS","STATEN ISLAND","3235","RICHMOND AVENUE",10312,"7189677111","Donuts",6
40395568,"FRANK'S PLACE","BROOKLYN","365","SMITH STREET",11231,"7188755449","American ",10
40395597,"ELMHURST FAMOUS PIZZA","QUEENS","83-07","BROADWAY",11373,"7182713000","Pizza",8
40395653,"MCDONALD'S","BRONX","300","EAST 204 STREET",10467,"7186531387","Hamburgers",3
40395691,"CAMILLES","MANHATTAN","113335    ","AMSTERDAM AVENUE                                                                                    ",10025,"2127492428","American ",7
40395723,"OLYMPIC FLAME DINER","MANHATTAN","200       ","WEST   60 STREET                                                                                    ",10023,"2125815259","American ",9
40395748,"INDIGO INDIAN CUISINE","MANHATTAN","357","EAST 50 STREET",10022,"2124211919","Indian",9
40395774,"CARUSO PIZZERIA & RESTAURANT","BROOKLYN","150       ","SMITH STREET                                                                                        ",11201,"7187972300","Pizza/Italian",12
40395826,"JAVA RESTAURANT","BROOKLYN","455","7 AVENUE",11215,"7188324583","Indonesian",10
40395858,"TEQUILLA SUNRISE","QUEENS","34-37","BELL BOULEVARD",11361,"7186310377","Tex-Mex",14
40395860,"LES HALLES","MANHATTAN","411       ","PARK AVENUE SOUTH                                                                                   ",10016,"2126794111","French",10
40395865,"PIZZA NOSH","BROOKLYN","2807      ","NOSTRAND AVENUE                                                                                     ",11229,"7182533200","Pizza",7
40395872,"CARIDAD RESTAURANT","MANHATTAN","3533","BROADWAY",10031,"2128624053","Spanish",12
40395882,"WHITE CASTLE","QUEENS","98-08","ROCKAWAY BOULEVARD",11417,"7186416870","Hamburgers",4
40395884,"APROVECHO","MANHATTAN","1229      ","1 AVENUE                                          ",10065,"2128798226","Mexican",13
40395892,"THE STUMBLE INN","MANHATTAN","1454      ","2 AVENUE                                                                                            ",10021,"2126500561","American ",9
40395906,"ROSA #2 PIZZERIA","QUEENS","7559      ","METROPOLITAN AVENUE                                                                                 ",11379,"7188944707","Pizza/Italian",12
40395910,"MCDONALD'S","QUEENS","250-01","NORTHERN BOULEVARD",11362,"7182297701","Hamburgers",8
40395921,"GOLDEN PIZZA","BRONX","504       ","EAST  138 STREET                                                                                    ",10454,"7186658328","Pizza",11
40395935,"MCDONALD'S","STATEN ISLAND","1660      ","RICHMOND AVENUE                                                                                     ",10314,"7184943400","Hamburgers",7
40395992,"MCDONALD'S","BRONX","2516","WHITE PLAINS ROAD",10467,"7188827541","Hamburgers",4
40395996,"HOT & CRUSTY BAKERY","MANHATTAN","84","EAST 42 STREET",10017,"2123380260","Bagels/Pretzels",11
40396000,"JULES BISTRO","MANHATTAN","65","ST MARKS PLACE",10003,"2124775560","French",9
40396019,"IL VIOLINO","MANHATTAN","180","COLUMBUS AVENUE",10023,"2128732500","Italian",8
40396020,"FRENCH ROAST","MANHATTAN","78        ","WEST   11 STREET                                                                                    ",10011,"2125332233","French",6
40396037,"SMILER'S DELI","MANHATTAN","532","MADISON AVENUE",10022,"2126441090","Delicatessen",13
40396053,"CHICK-N-RIBS","BRONX","780       ","MORRIS PARK AVE                                                                                     ",10462,"7184092441","Chicken",11
40396066,"TWO BOOTS TO GO-GO","MANHATTAN","74        ","BLEEKER STREET                                                                                      ",10012,"2127771033","Pizza",6
40396074,"MENDY'S","MANHATTAN","10        ","PARK AVENUE                                                                                         ",10016,"2125761010","Jewish/Kosher",14
40396126,"EUROPA CAFE","MANHATTAN","205       ","WEST   57 STREET                                                                                    ",10019,"2129774030","American ",8
40396152,"HARRY'S BURRITO JUNCTION","MANHATTAN","241       ","COLUMBUS AVENUE                                                                                     ",10023,"2125809494","Tex-Mex",15
40396159,"CARMINE'S","MANHATTAN","200","WEST 44 STREET",10036,"2122213800","Italian",8
40396183,"HI FI","MANHATTAN","169       ","AVENUE A                                                                                            ",10009,"2124208392","American ",5
40396215,"GENNARO'S REST & PIZZERIA","STATEN ISLAND","413","NEW DORP LANE",10306,"7189792382","Pizza/Italian",12
40396230,"QUEENS COFFEE SHOP","QUEENS","10880     ","ROOSEVELT AVENUE                                                                                    ",11368,"7184293552","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10
40396231,"DELMONICO GOURMET","MANHATTAN","375","LEXINGTON AVENUE",10017,"2126610150","American ",16
40396246,"LANGANS BAR & RESTAURANT","MANHATTAN","150       ","WEST   47 STREET                ",10036,"2128695482","Irish",7
40396256,"RITMO'S 60","QUEENS","3223      ","STEINWAY STREET                                                                                     ",11103,"7182041101","American ",3
40396264,"DA NICO RESTAURANT","MANHATTAN","164       ","MULBERRY STREET                                                                                     ",10013,"2123431212","Italian",10
40396267,"ARHARN THAI CUISINE","QUEENS","3205      ","36 AVENUE                                                                                           ",11106,"7187285563","Thai",15
40396381,"LA DINASTIA","MANHATTAN","4059      ","BROADWAY                                                                                            ",10032,"2129286605","Chinese/Cuban",7
40396395,"CAFE LOUP","MANHATTAN","105       ","WEST   13 STREET                                                                                    ",10011,"2122554746","French",8
40396399,"MCDONALD'S","BRONX","5167      ","EAST  161 STREET                                                                                    ",10451,"7185901990","Hamburgers",5
40396421,"CAFFE ROMA","MANHATTAN","385       ","BROOME STREET                   ",10013,"2122268413","Bakery",5
40396433,"CHRISTINA'S RESTAURANT","BROOKLYN","853       ","MANHATTAN AVENUE                                                                                    ",11222,"7183834382","Polish",11
40396445,"POLLOS A LA BRASA","QUEENS","81-01","ROOSEVELT AVENUE",11372,"7186395555","Spanish",8
40396464,"ESS-A-BAGEL","MANHATTAN","831       ","THIRD AVENUE                                                                                        ",10022,"2129801010","Bagels/Pretzels",11
40396488,"AUCTION HOUSE","MANHATTAN","300","EAST   89 STREET",10128,"2124274458","American ",8
40396492,"ROYAL KING'S PIZZA","BROOKLYN","5211      ","5 AVENUE                                                                                            ",11220,"7184923846","Pizza",10
40396494,"CORNER CAFE AND BAKERY","MANHATTAN","1645      ","THIRD AVENUE                                                                                        ",10128,"2128608060","American ",15
40396496,"MR. PHIL'S PIZZA","BROOKLYN","7212","NEW UTRECHT AVENUE",11228,"7182344106","Pizza",8
40396521,"TEE DEE'S TAVERN","QUEENS","64-31","COOPER AVENUE",11385,"7188218229","Irish",11
40396532,"METRO DINER","MANHATTAN","2641      ","BROADWAY                                                                                            ",10025,"2128660800","American ",7
40396543,"IRISH EYE BAR","MANHATTAN","5008      ","BROADWAY                                                                                            ",10034,"2125679072","Irish",8
40396548,"PUGSLEY PIZZA","BRONX","590       ","EAST  191 STREET                                                                                    ",10458,"7183650327","Pizza",3
40396574,"MONTEBELLO RESTAURANT","MANHATTAN","120","EAST   56 STREET",10022,"2127531447","Italian",3
40396596,"NEW WAVE CAFE & RESTAURANT","MANHATTAN","2210      ","BROADWAY                        ",10024,"2128737448","Café/Coffee/Tea",10
40396598,"ROCKAWAY BEACH INN","QUEENS","8822      ","ROCKAWAY BEACH BOULEVARD                                                                            ",11693,"3472467433","American ",12
40396605,"EVERGREEN RESTAURANT","MANHATTAN","145       ","WEST   47 STREET                                                                                    ",10036,"2129217676","American ",10
40396622,"MEDITERRANEO","MANHATTAN","1260      ","2 AVENUE                                                                                            ",10065,"2127347407","Italian",10
40396706,"MARKET CAFE","MANHATTAN","496","9 AVENUE",10018,"2125647350","American ",6
40396769,"POPEYES CHICKEN & BISCUITS","QUEENS","21820     ","JAMAICA AVENUE                                                                                      ",11428,"7184659510","Chicken",5
40396889,"LA ANTIOQUENA BAKERY II","QUEENS","4007      ","NATIONAL STREET                                                                                     ",11368,"7182051314","Bakery",8
40396892,"PARADISE ALLEY BAR","QUEENS","41-09","150 STREET",11355,"7184606941","American ",9
40396906,"FLANNERY'S BAR","MANHATTAN","205       ","WEST   14 STREET                                  ",10011,"2122292122","American ",10
40396927,"MANHATTAN ESPRESSO","MANHATTAN","146       ","EAST   49 STREET                                  ",10017,"2128323010","Café/Coffee/Tea",8
40397029,"ANGELO'S PIZZERIA/MIMMO'S RESTAURANT","STATEN ISLAND","6","SNEDEN AVENUE",10312,"7183564233","Pizza/Italian",6
40397056,"SHARMEL CATERERS","QUEENS","728","EMPIRE AVENUE",11691,"7183273575","Jewish/Kosher",5
40397075,"EXCELSIOR CATERING","STATEN ISLAND","2380      ","HYLAN BOULEVARD                                                                                     ",10306,"7189874800","American ",5
40397082,"MOTIVO","MANHATTAN","915","BROADWAY",10010,"2125057400","American ",8
40397110,"DEVON & BLAKELY","MANHATTAN","461       ","FIFTH AVENUE                                      ",10017,"2126844321","Sandwiches/Salads/Mixed Buffet",9
40397116,"TOLEDO","MANHATTAN","6         ","EAST   36 STREET                                                                                    ",10016,"2126965036","Spanish",6
40397159,"KELLEY & PING","MANHATTAN","127","GREENE STREET",10012,"2122281212","Chinese",13
40397180,"SOUEN RESTAURANT","MANHATTAN","28        ","EAST   13 STREET                                                                                    ",10003,"2126277150","Japanese",13
40397189,"BAGEL BOB'S","MANHATTAN","51","UNIVERSITY PLACE",10003,"2125332627","Bagels/Pretzels",8
40397190,"BRAVO PIZZA","MANHATTAN","1367","BROADWAY",10018,"2122684499","Pizza",13
40397219,"WHITE CASTLE","BRONX","931","WESTCHESTER AVENUE",10459,"7185422101","Hamburgers",5
40397243,"CAFFE GRAZIE","MANHATTAN","26        ","EAST   84 STREET                                                                                    ",10028,"2127174407","Italian",13
40397305,"SUGAR HILL RESTAURANT, SUPPER CLUB AND DISCO","BROOKLYN","609","DEKALB AVENUE",11216,"7187971727","American ",17
40397329,"HAPISGAH RESTAURANT","QUEENS","14725     ","UNION TURN PIKE                                                                                     ",11367,"7183804449","Jewish/Kosher",6
40397335,"ARIRANG HIBACHI STEAKHOUSE","BROOKLYN","8812      ","4 AVENUE                                                                                            ",11209,"7182389880","Steak",9
40397349,"SALISBURY HOTEL","MANHATTAN","123       ","WEST   57 STREET                                  ",10019,"2122461300","American ",9
40397354,"LA LUNCHEONETTE","MANHATTAN","130       ","TENTH AVENUE                                                                                        ",10011,"2126750342","French",12
40397359,"MCCOY'S PUB","MANHATTAN","768       ","9 AVENUE                                                                                            ",10019,"9179290363","Irish",6
40397374,"MUSTANG SALLY'S RESTAURANT","MANHATTAN","324       ","SEVENTH AVENUE                                                                                      ",10001,"2126953806","American ",11
40397439,"BEN'S KOSHER DELI & RESTAURANT","QUEENS","211-37","26 AVENUE",11360,"7182292367","Jewish/Kosher",6
40397458,"LUCIA PIZZA","QUEENS","13655     ","ROOSEVELT AVENUE                                                                                    ",11354,"7184451313","Pizza",6
40397478,"LE COLONIAL","MANHATTAN","149       ","EAST   57 STREET                                                                                    ",10022,"2127520808","Asian",6
40397486,"CREDIT AGRICOLE-CBI EXECUTIVE ROOM","MANHATTAN","1301","AVENUE OF THE AMERICAS",10019,"2122617104","French",3
40397492,"MANHATTAN DINER","MANHATTAN","2532      ","BROADWAY                                                                                            ",10025,"2129320068","American ",7
40397504,"RISQUE BILLARDS LOUNGE CAFE","BROOKLYN","213","MCGUINNESS BOULEVARD",11222,"7183491445","American ",8
40397520,"SHARAKU JAPANESE RESTAURANT","MANHATTAN","14","STUYVESANT STREET",10003,"2125980403","Japanese",9
40397574,"DOMINICK'S BAR & RESTAURANT","BRONX","2335","ARTHUR AVENUE",10458,"7187332807","Italian",6
40397624,"LE MIRAGE CAFE","MANHATTAN","20        ","WEST   43 STREET                                  ",10036,"2123541234","American ",11
40397625,"LA VILLA PIZZERIA","BROOKLYN","6610","AVENUE U",11234,"7182518030","Pizza/Italian",10
40397626,"JENTANA'S PIZZA","BROOKLYN","5102","FT HAMILTON PARKWAY",11219,"7188714050","Pizza",7
40397642,"EUROPA NIGHT CLUB","BROOKLYN","98104     ","MESEROLE AVENUE                                                                                     ",11222,"9178261119","American ",9
40397676,"MORTON'S STEAKHOUSE","MANHATTAN","5","EAST 45 STREET",10017,"2129723315","American ",9
40397687,"USAGI","MANHATTAN","320       ","EAST   49 STREET                                                                                    ",10017,"2129352002","Japanese",4
40397700,"THE MERCURY LOUNGE","MANHATTAN","217","EAST HOUSTON STREET",10002,"2122604700","American ",5
40397723,"WHITE CASTLE","STATEN ISLAND","2221","HYLAN BOULEVARD",10306,"7189802840","Hamburgers",3
40397725,"GOURMET GRILL","BROOKLYN","6334      ","AVENUE N                                                                                            ",11234,"7182412345","Italian",6
40397763,"ALFONSO'S BAR","QUEENS","7515      ","BROADWAY                                                                                            ",11373,"7184581068","Bottled beverages, including water, sodas, juices, etc.",8
40397775,"BAMBOO GARDEN","QUEENS","107-04","ATLANTIC AVENUE",11416,"7188491611","Caribbean",10
40397780,"VIRGIL'S BBQ","MANHATTAN","152","WEST 44 STREET",10036,"2129219494","Barbecue",10
40397791,"PYRAMID","MANHATTAN","101","AVENUE A",10009,"2122284888","American ",8
40397797,"TOAD HALL","MANHATTAN","57        ","GRAND STREET                                                                                        ",10013,"2124318145","American ",9
40397810,"OLYMPIA","QUEENS","2344      ","STEINWAY STREET                                                                                     ",11105,"7182784460","American ",4
40397863,"ZARO'S BREAD BASKET","BRONX","29        ","HUGH GRANT CIRCLE                                                                                   ",10462,"7188229181","Bakery",9
40397886,"LANDMARK COFFEE SHOP","MANHATTAN","158       ","GRAND STREET                                                                                        ",10013,"2123340040","American ",11
40397916,"CATERINA'S PIZZERIA","BROOKLYN","907","LIVONIA AVENUE",11207,"6464703013","Pizza/Italian",10
40397962,"BEN ASH DELICATESSEN","MANHATTAN","855","7 AVENUE",10019,"2122651818","Delicatessen",12
40398024,"PAX WHOLESOME FOODS","MANHATTAN","485","MADISON AVENUE",10022,"2126441189","American ",8
40398045,"MIKES PIZZA","MANHATTAN","415       ","SECOND AVENUE                                     ",10010,"2125325196","Pizza/Italian",8
40398125,"LA LOCANDA RESTAURANT","BROOKLYN","432       ","GRAHAM AVENUE                                                                                       ",11211,"7183497800","Italian",5
40398138,"PADDY QUINNS","QUEENS","4207      ","162 STREET                                                                                          ",11358,"7183599820","American ",12
40398150,"CJ SULLIVAN'S","QUEENS","213-10","41 AVENUE",11361,"7182240060","American ",12
40398306,"LA GIOCONDA","MANHATTAN","226","EAST 53 STREET",10022,"2123713536","Italian",9
40398367,"MCDONALD'S","QUEENS","30-01","STRATTON STREET",11354,"7185394570","Hamburgers",6
40398389,"BURGER KING","QUEENS","24202     ","61 AVENUE                                                                                           ",11362,"7182295701","Hamburgers",7
40398410,"WEISS CAFE ROCKEFELLER UNIVERSITY","MANHATTAN","1188      ","YORK AVENUE                                       ",10065,"2123278890","American ",6
40398416,"HOME DELI & CATERING","QUEENS","71-35","73 PLACE",11385,"7186284005","American ",8
40398434,"CURRY IN A HURRY","MANHATTAN","119","LEXINGTON AVENUE",10016,"2124174361","Indian",14
40398440,"NICK'S PIZZA","QUEENS","10826     ","ASCAN AVENUE                                                                                        ",11375,"7182631126","Pizza",7
